ProgramEnforcementNumber,RegulatoryProgramIdentifier,Region,Facility,Facility_ID,Address,ProgramID,Enforcement_Type,PenaltyAmount,ViolationId,DEQViolationClassCode,ViolationReference,ViolationDetailDescription,ViolationDetailTypeName,InspectionStartDate,EnforcementIssueDate,ClosedDate
2021-FC-6620,UndergroundStorageTanks,WR,SALEM INDUSTRIAL WAY CARDLOCK PP,3627,"3025 INDUSTRIAL WAY NE SALEM, OR 97303-4242",24-3627-2024-OPER,Field Citation,900,13918,I,340-150-0325(1),"Failure to continuously protect from corrosion any part of an UST system that routinely contains a regulated substance.  (i.e., inoperable due to power off or interrupted such that protection is not continuously provided).",(D2) Corrosion Protection - TCR,8/9/21,10/14/21,11/12/21
2021-FC-6625,UndergroundStorageTanks,NWR,"MERRITT #1, INC. 82ND",12026,"9010 SE 82ND AVE HAPPY VALLEY, OR 97086-3646",3-12026-2024-OPER,Field Citation,300,13925,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,10/12/21,10/18/21,11/12/21
2021-FC-6629,UndergroundStorageTanks,WR,STOP-N-SAVE 14,12641,"630 MAIN ST AUMSVILLE, OR 97325",24-12641-2024-OPER,Field Citation,150,13932,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,9/1/21,10/19/21,11/30/21
2021-FC-6630,UndergroundStorageTanks,WR,SALEM OIL 1 LLC,10889,"3995 SILVERTON ROAD NE SALEM, OR 97305",24-10889-2024-OPER,Field Citation,400,13933,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/1/21,10/19/21,11/23/21
2021-FC-6639,UndergroundStorageTanks,WR,RON'S OIL FAST GAS #21,11932,"240 WEST MAIN COQUILLE, OR 97423",6-11932-2024-OPER,Field Citation,700,13938,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,8/12/21,10/20/21,11/10/21
2021-FC-6639,UndergroundStorageTanks,WR,RON'S OIL FAST GAS #21,11932,"240 WEST MAIN COQUILLE, OR 97423",6-11932-2024-OPER,Field Citation,700,13944,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,8/12/21,10/20/21,11/10/21
2021-FC-6670,UndergroundStorageTanks,NWR,CLACKAMAS 76,9866,"12405 SE 97TH AVE CLACKAMAS, OR 97015-9762",3-9866-2024-OPER,Field Citation,450,13991,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/15/21,11/3/21,12/3/21
2021-FC-6706,UndergroundStorageTanks,NWR,"HASCO STATIONS, LLC #8059",12126,"9700 SW TUALATIN-SHERWOOD RD. TUALATIN, OR 97062",34-12126-2024-OPER,Field Citation,300,14176,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/15/21,NULL,1/15/22
2021-FC-6708,UndergroundStorageTanks,ER,"FOSSIL FILL-UP, LLC",8741,"609 W MAIN ST FOSSIL, OR 97830",35-8741-2024-OPER,Field Citation,300,14181,I,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,10/10/21,11/29/21,12/21/21
2021-FC-6708,UndergroundStorageTanks,ER,"FOSSIL FILL-UP, LLC",8741,"609 W MAIN ST FOSSIL, OR 97830",35-8741-2024-OPER,Field Citation,300,14182,II,304-150-0210(2),Failure to have a trained UST System Operator for an UST facility or to provide emergency response information.,(A5a) General Permit Requirements,10/10/21,11/29/21,12/21/21
2021-FC-6714,UndergroundStorageTanks,ER,LONE ELK MARKETPLACE,1591,"800 WILLOW ST SPRAY, OR 97874",35-1591-2024-OPER,Field Citation,400,14197,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,10/10/21,12/6/21,12/17/21
2021-FC-6714,UndergroundStorageTanks,ER,LONE ELK MARKETPLACE,1591,"800 WILLOW ST SPRAY, OR 97874",35-1591-2024-OPER,Field Citation,400,14200,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/10/21,12/6/21,12/17/21
2021-FC-6723,UndergroundStorageTanks,ER,PRAIRIE CITY,1235,"114 NE FRONT PRAIRIE CITY, OR 97869",12-1235-2024-OPER,Field Citation,450,14208,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/9/21,12/8/21,12/27/21
2021-FC-6723,UndergroundStorageTanks,ER,PRAIRIE CITY,1235,"114 NE FRONT PRAIRIE CITY, OR 97869",12-1235-2024-OPER,Field Citation,450,14209,I,340-150-0325(2)(b),Failure to conduct the most recent 3-year corrosion protection test.,(D5a) Corrosion Protection - TCR,9/9/21,12/8/21,12/27/21
2021-FC-6745,UndergroundStorageTanks,NWR,MEADOW BROOK STORE,7673,"16845 SW HWY 211 MOLALLA, OR 97038",3-7673-2024-OPER,Field Citation,150,14253,II,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,11/5/21,12/21/21,3/2/22
2021-FC-6746,UndergroundStorageTanks,WR,"RAMAN, INC (CENTER MARKET #18)",10062,"466 NE HWY 101 DEPOE BAY, OR 97341",21-10062-2024-OPER,Field Citation,750,14254,I,340-150-0465(6),Failure to keep the most recent 12 consecutive months of interstitial monitoring records for review and inspection.,(J8.5c) Interstitial - TCR,10/21/21,12/21/21,1/27/22
2021-FC-6746,UndergroundStorageTanks,WR,"RAMAN, INC (CENTER MARKET #18)",10062,"466 NE HWY 101 DEPOE BAY, OR 97341",21-10062-2024-OPER,Field Citation,750,14255,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/21/21,12/21/21,1/27/22
2021-FC-6746,UndergroundStorageTanks,WR,"RAMAN, INC (CENTER MARKET #18)",10062,"466 NE HWY 101 DEPOE BAY, OR 97341",21-10062-2024-OPER,Field Citation,750,14256,I,340-150-0410(3),Failure to perform annual line tightness test on pressurized piping or test cannot detect a 0.1 gph leak rate at 1.5 times operating pressure,(H2.7) Release Detection Pressure Piping - TCR,10/21/21,12/21/21,1/27/22
2021-FC-6747,UndergroundStorageTanks,WR,PHILOMATH CHEVRON #28,7899,"1414 MAIN ST PHILOMATH, OR 97370",2-7899-2024-OPER,Field Citation,750,14257,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/21/21,12/22/21,1/28/22
2021-FC-6747,UndergroundStorageTanks,WR,PHILOMATH CHEVRON #28,7899,"1414 MAIN ST PHILOMATH, OR 97370",2-7899-2024-OPER,Field Citation,750,14258,I,340-150-0400(1)(a),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(J8.2) Interstitial - TCR,10/21/21,12/22/21,1/28/22
2021-FC-6747,UndergroundStorageTanks,WR,PHILOMATH CHEVRON #28,7899,"1414 MAIN ST PHILOMATH, OR 97370",2-7899-2024-OPER,Field Citation,750,14259,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,10/21/21,12/22/21,1/28/22
2021-FC-6749,UndergroundStorageTanks,WR,TOLEDO CHEVRON #31,5853,"254 W HWY 20 TOLEDO, OR 97391",21-5853-2024-OPER,Field Citation,300,14261,I,340-150-0400(1)(c),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamp",(J8.4) Interstitial - Non TCR,10/21/21,12/22/21,1/28/22
2021-FC-6753,UndergroundStorageTanks,NWR,BEAVERTON POLICE DEPARTMENT,12609,"6125 SW HALL BLVD BEAVERTON, OR 97008",34-12609-2024-OPER,Field Citation,1150,14266,II,304-150-0210(2),Failure to have a trained UST System Operator for an UST facility or to provide emergency response information.,(A5a) General Permit Requirements,10/1/21,12/23/21,1/18/22
2021-FC-6753,UndergroundStorageTanks,NWR,BEAVERTON POLICE DEPARTMENT,12609,"6125 SW HALL BLVD BEAVERTON, OR 97008",34-12609-2024-OPER,Field Citation,1150,14267,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/1/21,12/23/21,1/18/22
2021-FC-6753,UndergroundStorageTanks,NWR,BEAVERTON POLICE DEPARTMENT,12609,"6125 SW HALL BLVD BEAVERTON, OR 97008",34-12609-2024-OPER,Field Citation,1150,14268,II,340-150-0315(a)(B),Failure to conduct annual periodic operation and maintenance walkthrough inspection.,(A16) General Permit Requirements,10/1/21,12/23/21,1/18/22
2021-FC-6753,UndergroundStorageTanks,NWR,BEAVERTON POLICE DEPARTMENT,12609,"6125 SW HALL BLVD BEAVERTON, OR 97008",34-12609-2024-OPER,Field Citation,1150,14269,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,10/1/21,12/23/21,1/18/22
2021-FC-6753,UndergroundStorageTanks,NWR,BEAVERTON POLICE DEPARTMENT,12609,"6125 SW HALL BLVD BEAVERTON, OR 97008",34-12609-2024-OPER,Field Citation,1150,14270,I,340-150-0465(4),Failure to use interstitial monitoring equipment to monitor pressurized piping for a release daily and/or failure to record results on a daily basis for each month.,(J8.5b) Interstitial - TCR,10/1/21,12/23/21,1/18/22
2021-FC-6753,UndergroundStorageTanks,NWR,BEAVERTON POLICE DEPARTMENT,12609,"6125 SW HALL BLVD BEAVERTON, OR 97008",34-12609-2024-OPER,Field Citation,1150,14271,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/1/21,12/23/21,1/18/22
2021-FC-6756,UndergroundStorageTanks,ER,DAN'S UKIAH SERVICE,9753,"MAIN & CAMAS UKIAH, OR 97880",30-9753-2021-OPER,Field Citation,900,14282,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/9/21,12/28/21,5/31/22
2021-FC-6756,UndergroundStorageTanks,ER,DAN'S UKIAH SERVICE,9753,"MAIN & CAMAS UKIAH, OR 97880",30-9753-2021-OPER,Field Citation,900,14283,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,9/9/21,12/28/21,5/31/22
2021-FC-6756,UndergroundStorageTanks,ER,DAN'S UKIAH SERVICE,9753,"MAIN & CAMAS UKIAH, OR 97880",30-9753-2021-OPER,Field Citation,900,14284,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,9/9/21,12/28/21,5/31/22
2021-FC-6756,UndergroundStorageTanks,ER,DAN'S UKIAH SERVICE,9753,"MAIN & CAMAS UKIAH, OR 97880",30-9753-2021-OPER,Field Citation,900,14285,II,340-150-0360(1) (a) & (b),Failure to inspect internal lining at 10 years after installation or every 5 years thereafter.,(F1b) Internally Lined Tanks - TCR,9/9/21,12/28/21,5/31/22
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13089,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13090,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13091,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13092,I,340-150-0310(11)(a),Failure to maintain records of spill or overfill equipment inspections/test for 3 years.,(C3a) Spill and Overfill Prevention-TCR,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13093,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13094,I,340-150-0150 (1),Failure to post annual operating certificate in a conspicuous location so it could be readily viewed by a fuel distributor.,(A10) General Permit Requirements,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13095,I,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13096,I,340-150-0315(a)(B),Failure to conduct annual periodic operation and maintenance walkthrough inspection.,(A16) General Permit Requirements,10/8/20,3/22/21,8/10/21
2021-PEN-6165,UndergroundStorageTanks,WR,PSB - EMERGENCY GENERATOR TANKS,12162,"125 E 8TH AVE EUGENE, OR 97401-2922",20-12162-2024-OPER,Pre-Enforcement Notice,0,13097,I,304-150-0210(2),Failure to have a trained UST System Operator for an UST facility or to provide emergency response information.,(A5a) General Permit Requirements,10/8/20,3/22/21,8/10/21
2021-PEN-6192,UndergroundStorageTanks,WR,"SALEM, CITY OF",4909,"1455 22ND ST SE SALEM, OR 97302-1212",24-4909-2024-OPER,Pre-Enforcement Notice,0,13136,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,11/30/20,4/5/21,5/3/21
2021-PEN-6192,UndergroundStorageTanks,WR,"SALEM, CITY OF",4909,"1455 22ND ST SE SALEM, OR 97302-1212",24-4909-2024-OPER,Pre-Enforcement Notice,0,13137,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,11/30/20,4/5/21,5/3/21
2021-PEN-6192,UndergroundStorageTanks,WR,"SALEM, CITY OF",4909,"1455 22ND ST SE SALEM, OR 97302-1212",24-4909-2024-OPER,Pre-Enforcement Notice,0,13138,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,11/30/20,4/5/21,5/3/21
2021-PEN-6192,UndergroundStorageTanks,WR,"SALEM, CITY OF",4909,"1455 22ND ST SE SALEM, OR 97302-1212",24-4909-2024-OPER,Pre-Enforcement Notice,0,13139,I,340-150-0410(2)(c-),Failure to perform an annual test of operation of line leak detector or annual test has not been conducted in accordance with manufacturer standards.,(H2.9) Release Detection Pressure Piping - TCR,11/30/20,4/5/21,5/3/21
2021-PEN-6192,UndergroundStorageTanks,WR,"SALEM, CITY OF",4909,"1455 22ND ST SE SALEM, OR 97302-1212",24-4909-2024-OPER,Pre-Enforcement Notice,0,13140,I,340-150-0410(3),Failure to perform annual line tightness test on pressurized piping or test cannot detect a 0.1 gph leak rate at 1.5 times operating pressure,(H2.7) Release Detection Pressure Piping - TCR,11/30/20,4/5/21,5/3/21
2021-PEN-6335,UndergroundStorageTanks,WR,Interstate Petroleum Services,91143,"33380 SE HIGHWAY 34 & I-5 ALBANY, OR 97321",CEM.INT.14508,Pre-Enforcement Notice,0,13347,I,340-150-0163 (2),NULL,NULL,4/15/21,6/3/21,8/10/21
2021-PEN-6742,UndergroundStorageTanks,ER,GRANT COUNTY REGIONAL AIRPORT,5062,"720 AIRPORT ROAD JOHN DAY, OR 97845",12-5062-2024-OPER,Pre-Enforcement Notice,0,14243,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/9/21,12/20/21,12/21/21
2021-PEN-6742,UndergroundStorageTanks,ER,GRANT COUNTY REGIONAL AIRPORT,5062,"720 AIRPORT ROAD JOHN DAY, OR 97845",12-5062-2024-OPER,Pre-Enforcement Notice,0,14244,I,340-150-0325(2)(b),Failure to conduct the most recent 3-year corrosion protection test.,(D5a) Corrosion Protection - TCR,9/9/21,12/20/21,12/21/21
2021-PEN-6742,UndergroundStorageTanks,ER,GRANT COUNTY REGIONAL AIRPORT,5062,"720 AIRPORT ROAD JOHN DAY, OR 97845",12-5062-2024-OPER,Pre-Enforcement Notice,0,14245,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,9/9/21,12/20/21,12/21/21
2021-PEN-6742,UndergroundStorageTanks,ER,GRANT COUNTY REGIONAL AIRPORT,5062,"720 AIRPORT ROAD JOHN DAY, OR 97845",12-5062-2024-OPER,Pre-Enforcement Notice,0,14246,I,340-150-0410(3),Failure to perform annual line tightness test on pressurized piping or test cannot detect a 0.1 gph leak rate at 1.5 times operating pressure,(H2.7) Release Detection Pressure Piping - TCR,9/9/21,12/20/21,12/21/21
2021-PEN-6742,UndergroundStorageTanks,ER,GRANT COUNTY REGIONAL AIRPORT,5062,"720 AIRPORT ROAD JOHN DAY, OR 97845",12-5062-2024-OPER,Pre-Enforcement Notice,0,14247,I,340-150-0410(2)(c-),Failure to perform an annual test of operation of line leak detector or annual test has not been conducted in accordance with manufacturer standards.,(H2.9) Release Detection Pressure Piping - TCR,9/9/21,12/20/21,12/21/21
2021-PEN-6742,UndergroundStorageTanks,ER,GRANT COUNTY REGIONAL AIRPORT,5062,"720 AIRPORT ROAD JOHN DAY, OR 97845",12-5062-2024-OPER,Pre-Enforcement Notice,0,14248,I,340-150-0410(2)(c-),Failure to perform an annual test of operation of line leak detector or annual test has not been conducted in accordance with manufacturer standards.,(H2.9) Release Detection Pressure Piping - TCR,9/9/21,12/20/21,12/21/21
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 S Valley View Rd Ashland, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14272,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 S Valley View Rd Ashland, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14273,I,340-150-0325(6)(a),Failure to maintain records for the three most recent 60-day inspections of the impressed current corrosion protection system.,(D9b) Corrosion Protection - TCR,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 S Valley View Rd Ashland, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14274,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 S Valley View Rd Ashland, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14275,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 S Valley View Rd Ashland, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14276,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 VALLEY VIEW RD ASHLAND, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14272,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 VALLEY VIEW RD ASHLAND, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14273,I,340-150-0325(6)(a),Failure to maintain records for the three most recent 60-day inspections of the impressed current corrosion protection system.,(D9b) Corrosion Protection - TCR,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 VALLEY VIEW RD ASHLAND, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14274,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 VALLEY VIEW RD ASHLAND, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14275,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/21/21,12/26/21,NULL
2021-PEN-6754,UndergroundStorageTanks,WR,ASHLAND FUEL STOP LLC,1372,"461 VALLEY VIEW RD ASHLAND, OR 97520",15-1372-2024-OPER,Pre-Enforcement Notice,0,14276,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/21/21,12/26/21,NULL
2021-PEN-6755,UndergroundStorageTanks,WR,COVERED BRIDGE STATION,10647,"235 SUNNY VALLEY LOOP SUNNY VALLEY, OR 97497",17-10647-2023-OPER,Pre-Enforcement Notice,0,14277,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,11/1/21,12/27/21,12/27/21
2021-PEN-6755,UndergroundStorageTanks,WR,COVERED BRIDGE STATION,10647,"235 SUNNY VALLEY LOOP SUNNY VALLEY, OR 97497",17-10647-2023-OPER,Pre-Enforcement Notice,0,14278,I,340-150-0410(3),Failure to perform annual line tightness test on pressurized piping or test cannot detect a 0.1 gph leak rate at 1.5 times operating pressure,(H2.7) Release Detection Pressure Piping - TCR,11/1/21,12/27/21,12/27/21
2021-PEN-6755,UndergroundStorageTanks,WR,COVERED BRIDGE STATION,10647,"235 SUNNY VALLEY LOOP SUNNY VALLEY, OR 97497",17-10647-2023-OPER,Pre-Enforcement Notice,0,14279,I,340-150-0410(2)(c-),Failure to perform an annual test of operation of line leak detector or annual test has not been conducted in accordance with manufacturer standards.,(H2.9) Release Detection Pressure Piping - TCR,11/1/21,12/27/21,12/27/21
2021-PEN-6755,UndergroundStorageTanks,WR,COVERED BRIDGE STATION,10647,"235 SUNNY VALLEY LOOP SUNNY VALLEY, OR 97497",17-10647-2023-OPER,Pre-Enforcement Notice,0,14280,I,340-150-0430(12),Failure to maintain adequate records of inventory control monitoring.,(J2.8a) SIR – TCR,11/1/21,12/27/21,12/27/21
2021-PEN-6755,UndergroundStorageTanks,WR,COVERED BRIDGE STATION,10647,"235 SUNNY VALLEY LOOP SUNNY VALLEY, OR 97497",17-10647-2023-OPER,Pre-Enforcement Notice,0,14281,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,11/1/21,12/27/21,12/27/21
2021-WLOTC-6407,UndergroundStorageTanks,NWR,JACKPOT MARKET 1,8612,"51883 COLUMBIA RIVER HWY SCAPPOOSE, OR 97056",5-8612-2024-OPER,Warning Letter with Opportunity to Correct,0,13506,I,340-150-0465(4),Failure to use interstitial monitoring equipment to monitor pressurized piping for a release daily and/or failure to record results on a daily basis for each month.,(J8.5b) Interstitial - TCR,6/30/21,7/6/21,8/6/21
2022-FC-6788,UndergroundStorageTanks,NWR,JACKSONS FOOD STORES #518,8351,"8725 SW HALL BLVD TIGARD, OR 97223-4401",34-8351-2024-OPER,Field Citation,300,14343,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,12/2/21,1/6/22,3/1/22
2022-FC-6789,UndergroundStorageTanks,WR,CANYONVILLE MARKET,1051,"203 SW 4TH CANYONVILLE, OR 97417",10-1051-2024-OPER,Field Citation,300,14344,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,8/12/21,1/6/22,1/24/22
2022-FC-6790,UndergroundStorageTanks,ER,SHELL/PACIFIC PRIDE,4203,"801 W HWY 26 JOHN DAY, OR 97845",12-4203-2024-OPER,Field Citation,300,14345,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/9/21,1/6/22,1/24/22
2022-FC-6793,UndergroundStorageTanks,ER,CANYON CITY SHELL,4772,"132 N WASHINGTON CANYON CITY, OR 97820",12-4772-2024-OPER,Field Citation,300,14348,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,9/9/21,1/6/22,1/24/22
